date,sm_surface
2023-01-01,0.156469402834773
2023-01-02,0.1554968021810054
2023-01-03,0.1557557247579097
2023-01-04,0.1541145462542772
2023-01-05,0.1450883708894252
2023-01-06,0.1413199398666619
2023-01-07,0.1365242190659046
2023-01-08,0.1357873324304818
2023-01-09,0.1363801956176757
2023-01-10,0.1329204086214303
2023-01-11,0.132447300478816
2023-01-12,0.1329100281000136
2023-01-13,0.1324171889573335
2023-01-14,0.1322682481259107
2023-01-15,0.1305422540754079
2023-01-16,0.1291342414915561
2023-01-17,0.1441937144845723
2023-01-18,0.1623544786125421
2023-01-19,0.1476871967315673
2023-01-20,0.1429236233234405
2023-01-21,0.1387877333909272
2023-01-22,0.1362396255135536
2023-01-23,0.133833335712552
2023-01-24,0.133391486480832
2023-01-25,0.1344553939998149
2023-01-26,0.1365502141416072
2023-01-27,0.136042634025216
2023-01-28,0.1343279071152209
2023-01-29,0.1334073469042777
2023-01-30,0.1317975502461194
2023-01-31,0.1327714622020721
2023-02-01,0.1304736826568841
2023-02-02,0.1326560582965611
2023-02-03,0.1334566846489906
2023-02-04,0.1320886444300412
2023-02-05,0.1291410960257053
2023-02-06,0.1276069730520247
2023-02-07,0.1289529297500848
2023-02-08,0.1353207789361476
2023-02-09,0.1444659959524869
2023-02-10,0.1390582751482725
2023-02-11,0.1332343965768813
2023-02-12,0.129570510238409
2023-02-13,0.1321470662951469
2023-02-14,0.1385939717292785
2023-02-15,0.2195017151534557
2023-02-16,0.1780600473284721
2023-02-17,0.1603254005312919
2023-02-18,0.1512447837740182
2023-02-19,0.1609581299126147
2023-02-20,0.1743468828499316
2023-02-21,0.157929191365838
2023-02-22,0.1490781661123036
2023-02-23,0.142914468422532
2023-02-24,0.1392669957131146
2023-02-25,0.1390394009649753
2023-02-26,0.1381879467517137
2023-02-27,0.1368225365877151
2023-02-28,0.133898427709937
2023-03-01,0.1399916913360357
2023-03-02,0.1473568212240934
2023-03-03,0.1426606569439172
2023-03-04,0.145032612606883
2023-03-05,0.1612780969589948
2023-03-06,0.1684379465878009
2023-03-07,0.1544896680861711
2023-03-08,0.151249537244439
2023-03-09,0.146750021725893
2023-03-10,0.1429007723927497
2023-03-11,0.1407298110425471
2023-03-12,0.1393985003232955
2023-03-13,0.1383659616112708
2023-03-14,0.1390207689255475
2023-03-15,0.138520237058401
2023-03-16,0.1612313594669103
2023-03-17,0.1980506256222724
2023-03-18,0.1670266035944222
2023-03-19,0.1540412455797195
2023-03-20,0.1582534555345773
2023-03-21,0.1705949362367391
2023-03-22,0.1694485563784837
2023-03-23,0.1971590965986251
2023-03-24,0.1878126207739114
2023-03-25,0.1795789413154125
2023-03-26,0.1806052830070257
2023-03-27,0.1933667436242103
2023-03-28,0.1990695912390947
2023-03-29,0.1851721145212649
2023-03-30,0.1779001019895076
2023-03-31,0.1923214998096227
2023-04-01,0.1918140053749084
2023-04-02,0.1855004113167524
2023-04-03,0.2286169975996017
2023-04-04,0.2010086085647344
2023-04-05,0.2288331557065248
2023-04-06,0.2014418486505746
2023-04-07,0.1854971591383218
2023-04-08,0.1820024345070123
2023-04-09,0.1819988787174224
2023-04-10,0.1802465207874774
2023-04-11,0.1856122687458991
2023-04-12,0.1853736862540244
2023-04-13,0.1811242643743753
2023-04-14,0.1795690637081861
2023-04-15,0.1763195507228374
2023-04-16,0.1901256162673234
2023-04-17,0.2057302631437778
2023-04-18,0.1907982863485812
2023-04-19,0.1799282990396022
